BJD,measured_relative_flux,measured_relative_flux_error,parallax_shift_t,parallax_shift_u,true_relative_flux,true_relative_flux_error,Simulation_time,observatory_code
2458348.1586025,0.99474271,0.00644749,0.206228,-0.0753956,1.00000000044,0.00644749,114.158602454,0
2458348.1670343,0.99267139,0.00644749,0.20623,-0.0753948,1.00000000044,0.00644749,114.167034259,0
2458348.1754661,1.0118584,0.00644749,0.206231,-0.0753939,1.00000000044,0.00644749,114.175466065,0
2458348.1838979,0.99187193,0.00644749,0.206233,-0.0753931,1.00000000044,0.00644749,114.18389787,0
2458348.1923297,1.0003389,0.00644749,0.206234,-0.0753922,1.00000000044,0.00644749,114.192329676,0
2458348.2007615,1.0026646,0.00644749,0.206236,-0.0753914,1.00000000044,0.00644749,114.200761481,0
2458348.2091933,0.98947356,0.00644749,0.206237,-0.0753905,1.00000000044,0.00644749,114.209193287,0
2458348.2176251,1.0009567,0.00644749,0.206239,-0.0753897,1.00000000044,0.00644749,114.217625093,0
2458348.2260569,0.99841294,0.00644749,0.20624,-0.0753888,1.00000000044,0.00644749,114.226056898,0
2458348.2344887,1.0029917,0.00644749,0.206242,-0.075388,1.00000000044,0.00644749,114.234488704,0
2458348.2429205,1.0015018,0.00644749,0.206244,-0.0753871,1.00000000044,0.00644749,114.242920509,0
2458348.2513523,0.99964847,0.00644749,0.206245,-0.0753863,1.00000000044,0.00644749,114.251352315,0
2458348.2682159,1.0104048,0.00644749,0.206248,-0.0753846,1.00000000044,0.00644749,114.268215926,0
2458348.2766477,0.992308,0.00644749,0.20625,-0.0753837,1.00000000044,0.00644749,114.276647731,0
2458348.2850795,0.99328915,0.00644749,0.206251,-0.0753829,1.00000000044,0.00644749,114.285079537,0
2458348.2935113,0.99307112,0.00644749,0.206253,-0.075382,1.00000000044,0.00644749,114.293511343,0
2458348.3019431,0.99470637,0.00644749,0.206254,-0.0753812,1.00000000044,0.00644749,114.301943148,0
2458348.310375,0.99924874,0.00644749,0.206256,-0.0753803,1.00000000044,0.00644749,114.310374954,0
2458348.3188068,1.0011747,0.00644749,0.206257,-0.0753795,1.00000000044,0.00644749,114.318806759,0
2458348.3272386,1.0057898,0.00644749,0.206259,-0.0753786,1.00000000044,0.00644749,114.327238565,0
2458348.3356704,0.98954624,0.00644749,0.20626,-0.0753778,1.00000000044,0.00644749,114.33567037,0
2458348.3441022,1.0130939,0.00644749,0.206262,-0.0753769,1.00000000044,0.00644749,114.344102176,0
2458348.352534,1.0102958,0.00644749,0.206263,-0.075376,1.00000000044,0.00644749,114.352533981,0
2458348.3609658,0.99408861,0.00644749,0.206265,-0.0753752,1.00000000044,0.00644749,114.360965787,0
2458348.3693976,1.0006296,0.00644749,0.206267,-0.0753743,1.00000000044,0.00644749,114.369397593,0
2458348.3778294,1.0086242,0.00644749,0.206268,-0.0753735,1.00000000044,0.00644749,114.377829398,0
2458348.3862612,0.99467003,0.00644749,0.20627,-0.0753726,1.00000000044,0.00644749,114.386261204,0
2458348.4031248,1.007098,0.00644749,0.206273,-0.0753709,1.00000000044,0.00644749,114.403124815,0
2458348.4115566,0.99314379,0.00644749,0.206274,-0.0753701,1.00000000044,0.00644749,114.41155662,0
2458348.4199884,1.0004116,0.00644749,0.206276,-0.0753692,1.00000000044,0.00644749,114.419988426,0
2458348.4284202,0.98594868,0.00644749,0.206277,-0.0753684,1.00000000044,0.00644749,114.428420231,0
2458348.436852,1.0004843,0.00644749,0.206279,-0.0753675,1.00000000044,0.00644749,114.436852037,0
2458348.4452838,0.99797688,0.00644749,0.20628,-0.0753667,1.00000000044,0.00644749,114.445283843,0
2458348.4537156,0.99739545,0.00644749,0.206282,-0.0753658,1.00000000044,0.00644749,114.453715648,0
2458348.4621475,0.99852196,0.00644749,0.206283,-0.075365,1.00000000044,0.00644749,114.462147454,0
2458348.4705793,1.0038638,0.00644749,0.206285,-0.0753641,1.00000000044,0.00644749,114.470579259,0
2458348.4790111,0.9949244,0.00644749,0.206286,-0.0753633,1.00000000044,0.00644749,114.479011065,0
2458348.4874429,1.0066982,0.00644749,0.206288,-0.0753624,1.00000000044,0.00644749,114.48744287,0
2458348.4958747,1.0068436,0.00644749,0.206289,-0.0753616,1.00000000044,0.00644749,114.495874676,0
2458348.5043065,1.0122944,0.00644749,0.206291,-0.0753607,1.00000000044,0.00644749,114.504306481,0
2458348.5127383,0.99735911,0.00644749,0.206293,-0.0753599,1.00000000044,0.00644749,114.512738287,0
2458348.5211701,0.99169024,0.00644749,0.206294,-0.075359,1.00000000044,0.00644749,114.521170093,0
2458348.5380337,0.99652332,0.00644749,0.206297,-0.0753573,1.00000000044,0.00644749,114.538033704,0
2458348.5464655,1.0004843,0.00644749,0.206299,-0.0753565,1.00000000044,0.00644749,114.546465509,0
2458348.5548973,0.99423396,0.00644749,0.2063,-0.0753556,1.00000000044,0.00644749,114.554897315,0
2458348.5633291,0.99208997,0.00644749,0.206302,-0.0753548,1.00000000044,0.00644749,114.56332912,0
2458348.5717609,0.99368888,0.00644749,0.206303,-0.0753539,1.00000000044,0.00644749,114.571760926,0
2458348.5801927,1.0035004,0.00644749,0.206305,-0.0753531,1.00000000044,0.00644749,114.580192731,0
2458348.5886245,0.99812223,0.00644749,0.206306,-0.0753522,1.00000000044,0.00644749,114.588624537,0
2458348.5970563,1.0036821,0.00644749,0.206308,-0.0753514,1.00000000044,0.00644749,114.597056343,0
2458348.6054881,1.0058261,0.00644749,0.206309,-0.0753505,1.00000000044,0.00644749,114.605488148,0
2458348.61392,1.0077884,0.00644749,0.206311,-0.0753497,1.00000000044,0.00644749,114.613919954,0
2458348.6223518,1.0074613,0.00644749,0.206312,-0.0753488,1.00000000044,0.00644749,114.622351759,0
2458348.6307836,1.0105865,0.00644749,0.206314,-0.075348,1.00000000044,0.00644749,114.630783565,0
2458348.6392154,1.0024102,0.00644749,0.206315,-0.0753471,1.00000000044,0.00644749,114.63921537,0
2458348.6476472,1.0044452,0.00644749,0.206317,-0.0753463,1.00000000044,0.00644749,114.647647176,0
2458348.656079,1.0024466,0.00644749,0.206318,-0.0753454,1.00000000044,0.00644749,114.656078981,0
2458348.6729426,0.99964847,0.00644749,0.206321,-0.0753437,1.00000000044,0.00644749,114.672942593,0
2458348.6813744,0.99357986,0.00644749,0.206323,-0.0753429,1.00000000044,0.00644749,114.681374398,0
2458348.6898062,1.0063712,0.00644749,0.206324,-0.075342,1.00000000044,0.00644749,114.689806204,0
2458348.698238,1.0032097,0.00644749,0.206326,-0.0753412,1.00000000044,0.00644749,114.698238009,0
2458348.7066698,0.99325281,0.00644749,0.206327,-0.0753403,1.00000000044,0.00644749,114.706669815,0
2458348.7151016,1.009678,0.00644749,0.206329,-0.0753395,1.00000000044,0.00644749,114.71510162,0
2458348.7235334,1.0029553,0.00644749,0.20633,-0.0753386,1.00000000044,0.00644749,114.723533426,0
2458348.7319652,1.0014291,0.00644749,0.206332,-0.0753378,1.00000000044,0.00644749,114.731965231,0
2458348.740397,0.99354352,0.00644749,0.206333,-0.0753369,1.00000000044,0.00644749,114.740397037,0
2458348.7488288,0.99630528,0.00644749,0.206335,-0.075336,1.00000000044,0.00644749,114.748828843,0
2458348.7572606,0.99416129,0.00644749,0.206336,-0.0753352,1.00000000044,0.00644749,114.757260648,0
2458348.7656925,0.99474271,0.00644749,0.206338,-0.0753343,1.00000000044,0.00644749,114.765692454,0
2458348.7741243,0.99586922,0.00644749,0.206339,-0.0753335,1.00000000044,0.00644749,114.774124259,0
2458348.7825561,1.0027009,0.00644749,0.206341,-0.0753326,1.00000000044,0.00644749,114.782556065,0
2458348.7909879,1.0101141,0.00644749,0.206342,-0.0753318,1.00000000044,0.00644749,114.79098787,0
2458348.8078515,0.99903071,0.00644749,0.206345,-0.0753301,1.00000000044,0.00644749,114.807851481,0
2458348.8162833,1.0115313,0.00644749,0.206347,-0.0753292,1.00000000044,0.00644749,114.816283287,0
2458348.8247151,0.99961213,0.00644749,0.206348,-0.0753284,1.00000000044,0.00644749,114.824715093,0
2458348.8331469,0.9921263,0.00644749,0.20635,-0.0753275,1.00000000044,0.00644749,114.833146898,0
