mass_bin,event_name,prm_file,param_err_key,matrix_key,ratio_mcmc_over_fisher,mcmc_fractional,fisher_fractional,ot_distance_scaled,ot_constrained,mc_constrained_for_matrix
m30,5_3_59,5_3_59_sampling.prm,log_tE_err,A1,3.0293053244878356,0.008857504029629789,0.002923939015994476,0.9801665819594777,True,True
m30,5_3_59,5_3_59_sampling.prm,piEE_err,C,12.674525975765244,0.5516450944205592,0.04352392314121656,0.9703711810099943,True,False
m30,5_3_59,5_3_59_sampling.prm,piEN_err,D,2.7020312803549307,1.2228052851095468,0.45255038089304533,0.9297377467619745,True,False
m30,5_3_59,5_3_59_sampling.prm,t0_err,A1,2.561336496198283,5.467811623314788e-08,2.1347494292259144e-08,0.7101408221334065,True,True
m30,5_3_59,5_3_59_sampling.prm,u0_err,A1,2.203238631101064,0.03092049018755087,0.014034108585005345,0.9920512087894594,True,True
m30,638_4_450,638_4_450_sampling.prm,alpha_err,A1,1.5387079937372228,0.00043999197368105314,0.00028594897503092715,0.9994921077031172,True,True
m30,638_4_450,638_4_450_sampling.prm,log_q_err,A1,1.3993487956997073,0.0004988284111600847,0.00035647181938700196,0.9963381838639634,True,True
m30,638_4_450,638_4_450_sampling.prm,log_rho_err,A1,1.0602278889176433,0.020044252468518542,0.01890560763213006,0.7685175249686619,True,True
m30,638_4_450,638_4_450_sampling.prm,log_s_err,A1,1.9602895367495492,0.0008295402227663931,0.0004231722953242376,1.0036940188363896,True,True
m30,638_4_450,638_4_450_sampling.prm,log_tE_err,A1,1.9731363737467924,0.00048301083744340696,0.00024479343844146807,1.0014942848742499,True,True
m30,638_4_450,638_4_450_sampling.prm,piEE_err,C,1.5540150233641226,0.3466516603005177,0.22306840995017424,0.9897627905678176,True,False
m30,638_4_450,638_4_450_sampling.prm,piEN_err,D,1.6518931242955963,0.6390082639346254,0.3868339025910727,0.9752133340934263,True,False
m30,638_4_450,638_4_450_sampling.prm,t0_err,A1,1.2976191246638933,3.3756893051878074e-10,2.6014484844019016e-10,1.0016860659171691,True,True
m30,638_4_450,638_4_450_sampling.prm,u0_err,A1,1.602830973350967,0.004963906414382865,0.0030969618736559905,1.0105897278780294,True,True
m30,676_0_410,676_0_410_sampling.prm,alpha_err,B,0.1052724803139041,0.0654873352651486,0.6220745922379414,0.8300986596243667,True,True
m30,676_0_410,676_0_410_sampling.prm,log_q_err,A2,0.37686351938298085,0.007451497715064221,0.01977240388579975,0.9799898994592727,True,True
m30,676_0_410,676_0_410_sampling.prm,log_rho_err,B,0.006849601199322627,0.06273945880702167,9.159578343513797,0.1416934435059768,True,True
m30,676_0_410,676_0_410_sampling.prm,log_s_err,A2,0.15820871315575946,0.0081421133878141,0.051464380345461976,0.990270397469816,True,True
m30,676_0_410,676_0_410_sampling.prm,log_tE_err,A2,0.8184123841419009,0.008103795810027872,0.009901848954209851,0.9925781373234493,True,True
m30,676_0_410,676_0_410_sampling.prm,piEE_err,D,0.4329972596650595,1.1696075883097747,2.7011893544419023,0.9076363331763219,True,False
m30,676_0_410,676_0_410_sampling.prm,piEN_err,D,0.10834001538435281,13.740566911382674,126.8281794370797,0.1581075673770349,True,False
m30,676_0_410,676_0_410_sampling.prm,t0_err,A2,0.1152529090102829,1.215647041712079e-08,1.0547647362233769e-07,1.010259854798182,True,True
m30,676_0_410,676_0_410_sampling.prm,u0_err,D,0.10851944740358113,0.4755879684583192,4.382513732212618,0.9483464918504588,True,False
m30,676_0_701,676_0_701_sampling.prm,alpha_err,A1,21.44139269505841,0.0016149304716348567,7.5318357095668e-05,1.0014033664248803,True,True
m30,676_0_701,676_0_701_sampling.prm,log_q_err,A1,15.124746508448043,0.0015198107867104046,0.00010048504190542981,0.9902192739958671,True,True
m30,676_0_701,676_0_701_sampling.prm,log_rho_err,A1,8.459203094483135,0.0007771872677673267,9.187476161604246e-05,0.9861261379140163,True,True
m30,676_0_701,676_0_701_sampling.prm,log_s_err,A1,18.502844172017642,0.001936452627186471,0.00010465702511374013,0.996794873849946,True,True
m30,676_0_701,676_0_701_sampling.prm,log_tE_err,A1,26.30514123793093,0.0009413936648551874,3.5787440042243015e-05,1.0035130396107577,True,True
m30,676_0_701,676_0_701_sampling.prm,piEE_err,A1,7.094882220682625,0.019678984394865456,0.002773687255511913,1.0169034740434493,True,True
m30,676_0_701,676_0_701_sampling.prm,piEN_err,A1,48.61434148289733,0.18935392177422364,0.0038950218392002473,0.9882687588754132,True,True
m30,676_0_701,676_0_701_sampling.prm,t0_err,A1,7.320247494766902,9.821442450131305e-10,1.3416817473934394e-10,1.0004873685925497,True,True
m30,676_0_701,676_0_701_sampling.prm,u0_err,A1,239.18589005658214,0.002139894140573888,8.946573479178356e-06,0.9984859701566973,True,True
m30,676_1_375,676_1_375_sampling.prm,alpha_err,B,0.021709272994325478,0.0333560207342426,1.5364872302707433,0.9127272031854158,True,True
m30,676_1_375,676_1_375_sampling.prm,log_q_err,A2,0.20563073204478335,0.009059177217313565,0.04405556079691731,0.9586413820769832,True,True
m30,676_1_375,676_1_375_sampling.prm,log_rho_err,D,0.010473488626539369,0.06645126661003374,6.344711774608615,0.029995413646704116,False,False
m30,676_1_375,676_1_375_sampling.prm,log_s_err,A2,0.1475102161982533,0.01914390424309215,0.12978019242655572,1.0029368619895747,True,True
m30,676_1_375,676_1_375_sampling.prm,log_tE_err,A2,0.3353788494212976,0.012563841329680053,0.037461638834289025,0.9993143015957748,True,True
m30,676_1_375,676_1_375_sampling.prm,piEE_err,D,2.4948198476921393,106.31072834601358,42.612587215208144,0.11369451343861126,True,False
m30,676_1_375,676_1_375_sampling.prm,piEN_err,D,0.008620671057131303,45.461915027867384,5273.593520339671,0.6351758555150068,True,False
m30,676_1_375,676_1_375_sampling.prm,t0_err,A2,0.026246702938509246,7.129836397662454e-09,2.7164693464037096e-07,0.9374699876787425,True,True
m30,676_1_375,676_1_375_sampling.prm,u0_err,B,0.021856288470391776,0.16910672504369129,7.7372114333490964,0.9699456393623385,True,True
m30,677_3_912,677_3_912_sampling.prm,alpha_err,A2,0.33019946396345906,0.010369204778784447,0.03140285164100671,0.9781402269252525,True,True
m30,677_3_912,677_3_912_sampling.prm,log_q_err,A2,0.33480850272482054,0.013929418424983084,0.0416041358317345,0.928162333249807,True,True
m30,677_3_912,677_3_912_sampling.prm,log_rho_err,B,0.0007260554034715799,0.06467680334722219,89.07970801949115,0.07406975537469646,True,True
m30,677_3_912,677_3_912_sampling.prm,log_s_err,A2,0.721749536766332,0.037919254141048464,0.05253796810308852,0.9912120232881919,True,True
m30,677_3_912,677_3_912_sampling.prm,log_tE_err,A1,1.0342165808354595,0.02261201394948345,0.021863905847667845,0.9621144103780105,True,True
m30,677_3_912,677_3_912_sampling.prm,piEE_err,D,2.510530355333603,1.4365276790020292,0.5722008801646778,0.9782438338312014,True,False
m30,677_3_912,677_3_912_sampling.prm,piEN_err,D,0.23883482262464012,1.7268931997617996,7.2304916878718135,0.9678761334663084,True,False
m30,677_3_912,677_3_912_sampling.prm,t0_err,A2,0.312175250409539,1.7388824221978602e-07,5.570212308364104e-07,0.3825245041870123,True,True
m30,677_3_912,677_3_912_sampling.prm,u0_err,A1,1.1894022052341873,0.10451035632881378,0.08786796919401726,0.8876723258025613,True,True
